"TIME" "day","TOA","SWin","LWin","Tair","RH","rain"
"yyyy-mm-dd HH:MM:SS","TF","W.m-2","W.m-2","W.m-2","Celsius","%","mm"
2010-10-10 00:15:00,FALSE,0,0,380.494601616574,13.9077777862549,84.3194427490234,0
2010-10-10 00:30:00,FALSE,0,0,380.396601616574,13.9194440841675,84.6016693115234,0
2010-10-10 00:45:00,FALSE,0,0,377.316601616574,13.96555519104,84.8899993896484,0
2010-10-10 01:00:00,FALSE,0,0,378.926797492242,13.9156427383423,85.7385482788086,0
2010-10-10 01:15:00,FALSE,0,0,380.575797492242,13.9396648406982,86.0904998779297,0
2010-10-10 01:30:00,FALSE,0,0,379.736797492242,13.9849996566772,86.2077789306641,0
2010-10-10 01:45:00,FALSE,0,0,374.956797492242,13.9694442749023,86.6244430541992,0
2010-10-10 02:00:00,FALSE,0,0,355.817556152344,13.9748601913452,86.7044677734375,0
2010-10-10 02:15:00,FALSE,0,0,338.420760260795,13.9344444274902,87.120002746582,0
2010-10-10 02:30:00,FALSE,0,0,340.520760260795,13.9099998474121,87.3472213745117,0
2010-10-10 02:45:00,FALSE,0,0,331.783204926955,13.9250001907349,87.1261138916016,0
2010-10-10 03:00:00,FALSE,0,0,324.723204926955,13.9179773330688,86.8752822875977,0
2010-10-10 03:15:00,FALSE,0,0,318.276210813175,13.8772220611572,86.663330078125,0
2010-10-10 03:30:00,FALSE,0,0,315.2197775287,13.8088884353638,86.5455551147461,0
2010-10-10 03:45:00,FALSE,0,0,322.3997775287,13.7194442749023,86.4566650390625,0
2010-10-10 04:00:00,FALSE,0,0,326.773904682912,13.6178770065308,86.6558685302734,0
2010-10-10 04:15:00,FALSE,0,0,330.46859188533,13.4977779388428,87.0016632080078,0
2010-10-10 04:30:00,FALSE,0,0,327.703838745608,13.3527774810791,87.4850006103516,0
2010-10-10 04:45:00,FALSE,0,0,316.826009879044,13.2861108779907,87.6433334350586,0
2010-10-10 05:00:00,FALSE,0,0,314.922933372191,13.2335195541382,87.5111694335938,0
2010-10-10 05:15:00,FALSE,0,0,316.220414963177,13.1494445800781,87.8133316040039,0
2010-10-10 05:30:00,FALSE,0,0,312.878454262337,13.0403318405151,88.158561706543,0
2010-10-10 05:45:00,FALSE,0,0,320.7062044272,12.9344444274902,88.5033340454102,0
2010-10-10 06:00:00,FALSE,0,0,351.568454262337,12.9044694900513,88.4161987304688,0
2010-10-10 06:15:00,FALSE,0,0.875,371.592933372191,12.9683332443237,87.8155517578125,0
2010-10-10 06:30:00,TRUE,32.3616327100093,2.556,377.040009879044,12.9288892745972,87.7227783203125,0
2010-10-10 06:45:00,TRUE,86.3297121305661,9.9,356.046009879044,12.9122219085693,87.8566665649414,0
2010-10-10 07:00:00,TRUE,139.392709849583,22.96,343.396009879044,12.9955310821533,87.836311340332,0
2010-10-10 07:15:00,TRUE,191.32331792067,34.38,347.019644873537,13.0883331298828,87.857780456543,0
2010-10-10 07:30:00,TRUE,241.899079323897,43.55,363.96859188533,13.1044445037842,88.0344467163086,0
2010-10-10 07:45:00,TRUE,290.903340911678,62.79,364.1597775287,13.2038888931274,88.5622253417969,0
2010-10-10 08:00:00,TRUE,338.126181492132,60.53,371.756210813175,13.241340637207,89.0670394897461,0
